phase,cell,scenario,row_id,key_name,metric,unit,n,median,p95,mean,min,max
check,F0,read_correctness,1,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,1,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,1,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,1,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,1,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,10,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,10,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,10,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,10,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,10,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,25,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,25,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,25,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,25,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,25,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,50,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,50,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,50,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,50,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,50,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,60,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,60,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,60,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,60,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,60,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,75,key1,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,75,key2,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,75,key3,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,75,key4,correct,bool,1,1.0,1.0,1.0,1.0,1.0
check,F0,read_correctness,75,nokey,correct,bool,1,1.0,1.0,1.0,1.0,1.0
